Date,MaxTemp,MinTemp,AvgTemp,Precipitation
2016-01-01,49,39,44.0,0.00
2016-01-02,51,38,44.5,0.00
2016-01-03,60,37,48.5,0.00
2016-01-04,54,32,43.0,0.00
2016-01-05,47,32,39.5,0.00
2016-01-06,50,42,46.0,0.78
2016-01-07,64,48,56.0,0.06
2016-01-08,58,43,50.5,0.00
2016-01-09,47,36,41.5,0.00
2016-01-10,43,28,35.5,0.00
2016-01-11,50,31,40.5,0.00
2016-01-12,63,31,47.0,0.00
2016-01-13,67,37,52.0,0.00
2016-01-14,68,40,54.0,0.00
2016-01-15,64,45,54.5,0.00
2016-01-16,48,35,41.5,0.01
2016-01-17,55,29,42.0,0.00
2016-01-18,46,27,36.5,0.00
2016-01-19,66,35,50.5,0.00
2016-01-20,51,33,42.0,0.00
2016-01-21,52,37,44.5,0.19
2016-01-22,49,31,40.0,0.00
2016-01-23,50,27,38.5,0.00
2016-01-24,63,37,50.0,0.00
2016-01-25,66,48,57.0,0.00
2016-01-26,49,39,44.0,0.00
2016-01-27,56,31,43.5,0.00
2016-01-28,69,33,51.0,0.00
2016-01-29,77,38,57.5,0.00
2016-01-30,76,45,60.5,0.00
2016-01-31,73,49,61.0,0.00
2016-02-01,73,43,58.0,0.00
2016-02-02,66,45,55.5,0.00
2016-02-03,52,36,44.0,0.00
2016-02-04,55,31,43.0,0.00
2016-02-05,59,32,45.5,0.00
2016-02-06,54,35,44.5,0.00
2016-02-07,65,32,48.5,0.00
2016-02-08,57,41,49.0,0.00
2016-02-09,63,38,50.5,0.00
2016-02-10,74,34,54.0,0.00
2016-02-11,75,41,58.0,0.00
2016-02-12,71,41,56.0,0.00
2016-02-13,67,36,51.5,0.00
2016-02-14,67,58,62.5,0.00
2016-02-15,72,50,61.0,0.00
2016-02-16,73,44,58.5,0.00
2016-02-17,71,43,57.0,0.00
2016-02-18,75,48,61.5,0.00
2016-02-19,79,61,70.0,0.00
2016-02-20,77,65,71.0,0.00
2016-02-21,72,54,63.0,0.35
2016-02-22,61,51,56.0,0.10
2016-02-23,55,42,48.5,1.75
2016-02-24,61,41,51.0,0.00
2016-02-25,59,41,50.0,0.00
2016-02-26,61,32,46.5,0.00
2016-02-27,72,41,56.5,0.00
2016-02-28,76,54,65.0,0.00
2016-02-29,77,50,63.5,0.00
2016-03-01,71,49,60.0,0.00
2016-03-02,71,44,57.5,0.00
2016-03-03,74,51,62.5,0.00
2016-03-04,71,41,56.0,0.00
2016-03-05,78,48,63.0,0.00
2016-03-06,72,54,63.0,0.00
2016-03-07,73,63,68.0,0.04
2016-03-08,70,54,62.0,0.97
2016-03-09,62,58,60.0,0.57
2016-03-10,63,58,60.5,0.33
2016-03-11,62,59,60.5,0.08
2016-03-12,72,57,64.5,0.10
2016-03-13,80,56,68.0,0.00
2016-03-14,89,51,70.0,0.00
2016-03-15,83,57,70.0,0.00
2016-03-16,77,50,63.5,0.00
2016-03-17,68,56,62.0,0.00
2016-03-18,67,49,58.0,0.00
2016-03-19,60,42,51.0,0.00
2016-03-20,57,39,48.0,0.00
2016-03-21,66,34,50.0,0.00
2016-03-22,76,49,62.5,0.00
2016-03-23,82,59,70.5,0.42
2016-03-24,63,46,54.5,0.00
2016-03-25,69,41,55.0,0.00
2016-03-26,76,47,61.5,0.00
2016-03-27,64,50,57.0,0.00
2016-03-28,70,43,56.5,0.00
2016-03-29,75,52,63.5,0.00
2016-03-30,80,64,72.0,0.16
2016-03-31,75,56,65.5,0.00
2016-04-01,65,52,58.5,0.00
2016-04-02,70,45,57.5,0.00
2016-04-03,77,43,60.0,0.00
2016-04-04,85,48,66.5,0.00
2016-04-05,86,55,70.5,0.00
